Text,Book,Chapter,Verse,Lemma,POS,ID,
Βίβλος,Matt,1,1,βίβλος,nnfsc,10001,
γενέσεως,Matt,1,1,γένεσις,ngfsc,10002,
Ἰησοῦ,Matt,1,1,Ἰησοῦς,ngmsp,10003,
Χριστοῦ,Matt,1,1,Χριστός,ngmsp,10004,
υἱοῦ,Matt,1,1,υἱός,ngmsc,10005,
Δαυὶδ,Matt,1,1,Δαυίδ,ngmsp,10006,
υἱοῦ,Matt,1,1,υἱός,ngmsc,10007,
Ἀβραάμ,Matt,1,1,Ἀβραάμ,ngmsp,10008,
Ἀβραὰμ,Matt,1,2,Ἀβραάμ,nnmsp,10009,
ἐγέννησεν,Matt,1,2,γεννάω,viaa3s,10010,
τὸν,Matt,1,2,ὁ,dams,10011,
Ἰσαάκ,Matt,1,2,Ἰσαάκ,namsp,10012,
Ἰσαὰκ,Matt,1,2,Ἰσαάκ,nnmsp,10013,
δὲ,Matt,1,2,δέ,cc,10014,
ἐγέννησεν,Matt,1,2,γεννάω,viaa3s,10015,
τὸν,Matt,1,2,ὁ,dams,10016,
Ἰακώβ,Matt,1,2,Ἰακώβ,namsp,10017,
Ἰακὼβ,Matt,1,2,Ἰακώβ,nnmsp,10018,
δὲ,Matt,1,2,δέ,cc,10019,
ἐγέννησεν,Matt,1,2,γεννάω,viaa3s,10020,
τὸν,Matt,1,2,ὁ,dams,10021,
Ἰούδαν,Matt,1,2,Ἰούδας,namsp,10022,
καὶ,Matt,1,2,καί,cc,10023,
τοὺς,Matt,1,2,ὁ,damp,10024,
ἀδελφοὺς,Matt,1,2,ἀδελφός,nampc,10025,
αὐτοῦ,Matt,1,2,αὐτός,rpgms,10026,
Ἰούδας,Matt,1,3,Ἰούδας,nnmsp,10027,
δὲ,Matt,1,3,δέ,cc,10028,
ἐγέννησεν,Matt,1,3,γεννάω,viaa3s,10029,
τὸν,Matt,1,3,ὁ,dams,10030,
Φάρες,Matt,1,3,Φάρες,namsp,10031,
καὶ,Matt,1,3,καί,cc,10032,
τὸν,Matt,1,3,ὁ,dams,10033,
Ζάρα,Matt,1,3,Ζάρα,namsp,10034,
ἐκ,Matt,1,3,ἐκ,pg,10035,
τῆς,Matt,1,3,ὁ,dgfs,10036,
Θαμάρ,Matt,1,3,Θαμάρ,ngfsp,10037,
Φάρες,Matt,1,3,Φάρες,nnmsp,10038,
δὲ,Matt,1,3,δέ,cc,10039,
ἐγέννησεν,Matt,1,3,γεννάω,viaa3s,10040,
τὸν,Matt,1,3,ὁ,dams,10041,
Ἑσρώμ,Matt,1,3,Ἑσρώμ,namsp,10042,
Ἑσρὼμ,Matt,1,3,Ἑσρώμ,nnmsp,10043,
δὲ,Matt,1,3,δέ,cc,10044,
ἐγέννησεν,Matt,1,3,γεννάω,viaa3s,10045,
τὸν,Matt,1,3,ὁ,dams,10046,
Ἀράμ,Matt,1,3,Ἀράμ,namsp,10047,
Ἀρὰμ,Matt,1,4,Ἀράμ,nnmsp,10048,
δὲ,Matt,1,4,δέ,cc,10049,
ἐγέννησεν,Matt,1,4,γεννάω,viaa3s,10050,
τὸν,Matt,1,4,ὁ,dams,10051,
Ἀμιναδάβ,Matt,1,4,Ἀμιναδάβ,namsp,10052,
Ἀμιναδὰβ,Matt,1,4,Ἀμιναδάβ,nnmsp,10053,
δὲ,Matt,1,4,δέ,cc,10054,
ἐγέννησεν,Matt,1,4,γεννάω,viaa3s,10055,
τὸν,Matt,1,4,ὁ,dams,10056,
Ναασσών,Matt,1,4,Ναασσών,namsp,10057,
Ναασσὼν,Matt,1,4,Ναασσών,nnmsp,10058,
δὲ,Matt,1,4,δέ,cc,10059,
ἐγέννησεν,Matt,1,4,γεννάω,viaa3s,10060,
τὸν,Matt,1,4,ὁ,dams,10061,
Σαλμών,Matt,1,4,Σαλμών,namsp,10062,
Σαλμὼν,Matt,1,5,Σαλμών,nnmsp,10063,
δὲ,Matt,1,5,δέ,cc,10064,
ἐγέννησεν,Matt,1,5,γεννάω,viaa3s,10065,
τὸν,Matt,1,5,ὁ,dams,10066,
Βόες,Matt,1,5,Βόες,namsp,10067,
ἐκ,Matt,1,5,ἐκ,pg,10068,
τῆς,Matt,1,5,ὁ,dgfs,10069,
Ῥαχάβ,Matt,1,5,Ῥαχάβ,ngfsp,10070,
Βόες,Matt,1,5,Βόες,nnmsp,10071,
δὲ,Matt,1,5,δέ,cc,10072,
ἐγέννησεν,Matt,1,5,γεννάω,viaa3s,10073,
τὸν,Matt,1,5,ὁ,dams,10074,
Ἰωβὴδ,Matt,1,5,Ἰωβήδ,namsp,10075,
ἐκ,Matt,1,5,ἐκ,pg,10076,
τῆς,Matt,1,5,ὁ,dgfs,10077,
Ῥούθ,Matt,1,5,Ῥούθ,ngfsp,10078,
Ἰωβὴδ,Matt,1,5,Ἰωβήδ,nnmsp,10079,
δὲ,Matt,1,5,δέ,cc,10080,
ἐγέννησεν,Matt,1,5,γεννάω,viaa3s,10081,
τὸν,Matt,1,5,ὁ,dams,10082,
Ἰεσσαί,Matt,1,5,Ἰεσσαί,namsp,10083,
Ἰεσσαὶ,Matt,1,6,Ἰεσσαί,nnmsp,10084,
δὲ,Matt,1,6,δέ,cc,10085,
ἐγέννησεν,Matt,1,6,γεννάω,viaa3s,10086,
τὸν,Matt,1,6,ὁ,dams,10087,
Δαυὶδ,Matt,1,6,Δαυίδ,namsp,10088,
τὸν,Matt,1,6,ὁ,dams,10089,
βασιλέα,Matt,1,6,βασιλεύς,namsc,10090,
Δαυὶδ,Matt,1,6,Δαυίδ,nnmsp,10091,
δὲ,Matt,1,6,δέ,cc,10092,
ἐγέννησεν,Matt,1,6,γεννάω,viaa3s,10093,
τὸν,Matt,1,6,ὁ,dams,10094,
Σολομῶνα,Matt,1,6,Σολομών,namsp,10095,
ἐκ,Matt,1,6,ἐκ,pg,10096,
τῆς,Matt,1,6,ὁ,dgfs,10097,
τοῦ,Matt,1,6,ὁ,dgms,10098,
Οὐρίου,Matt,1,6,Οὐρίας,ngmsp,10099,
Σολομὼν,Matt,1,7,Σολομών,nnmsp,10100,
δὲ,Matt,1,7,δέ,cc,10101,
ἐγέννησεν,Matt,1,7,γεννάω,viaa3s,10102,
τὸν,Matt,1,7,ὁ,dams,10103,
Ῥοβοάμ,Matt,1,7,Ῥοβοάμ,namsp,10104,
Ῥοβοὰμ,Matt,1,7,Ῥοβοάμ,nnmsp,10105,
δὲ,Matt,1,7,δέ,cc,10106,
ἐγέννησεν,Matt,1,7,γεννάω,viaa3s,10107,
τὸν,Matt,1,7,ὁ,dams,10108,
Ἀβιά,Matt,1,7,Ἀβιά,namsp,10109,
Ἀβιὰ,Matt,1,7,Ἀβιά,nnmsp,10110,
δὲ,Matt,1,7,δέ,cc,10111,
ἐγέννησεν,Matt,1,7,γεννάω,viaa3s,10112,
τὸν,Matt,1,7,ὁ,dams,10113,
Ἀσάφ,Matt,1,7,Ἀσάφ,namsp,10114,
Ἀσὰφ,Matt,1,8,Ἀσάφ,nnmsp,10115,
δὲ,Matt,1,8,δέ,cc,10116,
ἐγέννησεν,Matt,1,8,γεννάω,viaa3s,10117,
τὸν,Matt,1,8,ὁ,dams,10118,
Ἰωσαφάτ,Matt,1,8,Ἰωσαφάτ,namsp,10119,
Ἰωσαφὰτ,Matt,1,8,Ἰωσαφάτ,nnmsp,10120,
δὲ,Matt,1,8,δέ,cc,10121,
ἐγέννησεν,Matt,1,8,γεννάω,viaa3s,10122,
τὸν,Matt,1,8,ὁ,dams,10123,
Ἰωράμ,Matt,1,8,Ἰωράμ,namsp,10124,
Ἰωρὰμ,Matt,1,8,Ἰωράμ,nnmsp,10125,
δὲ,Matt,1,8,δέ,cc,10126,
ἐγέννησεν,Matt,1,8,γεννάω,viaa3s,10127,
τὸν,Matt,1,8,ὁ,dams,10128,
Ὀζίαν,Matt,1,8,Ὀζίας,namsp,10129,
Ὀζίας,Matt,1,9,Ὀζίας,nnmsp,10130,
δὲ,Matt,1,9,δέ,cc,10131,
ἐγέννησεν,Matt,1,9,γεννάω,viaa3s,10132,
τὸν,Matt,1,9,ὁ,dams,10133,
Ἰωαθάμ,Matt,1,9,Ἰωαθάμ,namsp,10134,
Ἰωαθὰμ,Matt,1,9,Ἰωαθάμ,nnmsp,10135,
δὲ,Matt,1,9,δέ,cc,10136,
ἐγέννησεν,Matt,1,9,γεννάω,viaa3s,10137,
τὸν,Matt,1,9,ὁ,dams,10138,
Ἀχάζ,Matt,1,9,Ἀχάζ,namsp,10139,
Ἀχὰζ,Matt,1,9,Ἀχάζ,nnmsp,10140,
δὲ,Matt,1,9,δέ,cc,10141,
ἐγέννησεν,Matt,1,9,γεννάω,viaa3s,10142,
