Text,Book,Chapter,Verse,Lemma,POS,Order,ID,SequenceID
Ἐπειδήπερ,Luke,1,1,ἐπειδήπερ,cs,1,1-3,29659
πολλοὶ,Luke,1,1,πολύς,annmpn,2,2-3,29660
ἐπεχείρησαν,Luke,1,1,ἐπιχειρέω,viaa3p,3,3-3,29661
ἀνατάξασθαι,Luke,1,1,ἀνατάσσομαι,vnam,4,4-3,29662
διήγησιν,Luke,1,1,διήγησις,nafsc,5,5-3,29663
περὶ,Luke,1,1,περί,pg,6,6-3,29664
τῶν,Luke,1,1,ὁ,dgnp,7,7-3,29665
πεπληροφορημένων,Luke,1,1,πληροφορέω,vpxpgnp,8,8-3,29666
ἐν,Luke,1,1,ἐν,pd,9,9-3,29667
ἡμῖν,Luke,1,1,ἐγώ,rpd-p,10,10-3,29668
πραγμάτων,Luke,1,1,πρᾶγμα,ngnpc,11,11-3,29669
καθὼς,Luke,1,2,καθώς,cs,12,12-3,29670
παρέδοσαν,Luke,1,2,παραδίδωμι,viaa3p,13,13-3,29671
ἡμῖν,Luke,1,2,ἐγώ,rpd-p,14,14-3,29672
οἱ,Luke,1,2,ὁ,dnmp,15,15-3,29673
ἀπ,Luke,1,2,ἀπό,pg,16,16-3,29674
ἀρχῆς,Luke,1,2,ἀρχή,ngfsc,17,17-3,29675
αὐτόπται,Luke,1,2,αὐτόπτης,nnmpc,18,18-3,29676
καὶ,Luke,1,2,καί,cc,19,19-3,29677
ὑπηρέται,Luke,1,2,ὑπηρέτης,nnmpc,20,20-3,29678
γενόμενοι,Luke,1,2,γίνομαι,vpamnmp,21,21-3,29679
τοῦ,Luke,1,2,ὁ,dgms,22,22-3,29680
λόγου,Luke,1,2,λόγος,ngmsc,23,23-3,29681
ἔδοξεν,Luke,1,3,δοκέω,viaa3s,24,24-3,29682
κἀμοὶ,Luke,1,3,καί+ἐγώ,b&rpd-s,25,25-3,29683
παρηκολουθηκότι,Luke,1,3,παρακολουθέω,vpxadms,26,26-3,29684
ἄνωθεν,Luke,1,3,ἄνωθεν,b,27,27-3,29685
πᾶσιν,Luke,1,3,πᾶς,aidnpn,28,28-3,29686
ἀκριβῶς,Luke,1,3,ἀκριβῶς,b,29,29-3,29687
καθεξῆς,Luke,1,3,καθεξῆς,b,30,30-3,29688
σοι,Luke,1,3,σύ,rpd-s,31,31-3,29689
γράψαι,Luke,1,3,γράφω,vnaa,32,32-3,29690
κράτιστε,Luke,1,3,κράτιστος,anvmss,33,33-3,29691
Θεόφιλε,Luke,1,3,Θεόφιλος,nvmsp,34,34-3,29692
ἵνα,Luke,1,4,ἵνα,cs,35,35-3,29693
ἐπιγνῷς,Luke,1,4,ἐπιγινώσκω,vsaa2s,36,36-3,29694
περὶ,Luke,1,4,περί,pg,37,37-3,29695
ὧν,Luke,1,4,ὅς,rrgmp,38,38-3,29696
κατηχήθης,Luke,1,4,κατηχέω,viap2s,39,39-3,29697
λόγων,Luke,1,4,λόγος,ngmpc,40,40-3,29698
τὴν,Luke,1,4,ὁ,dafs,41,41-3,29699
ἀσφάλειαν,Luke,1,4,ἀσφάλεια,nafsc,42,42-3,29700
Ἐγένετο,Luke,1,5,γίνομαι,viam3s,43,43-3,29701
ἐν,Luke,1,5,ἐν,pd,44,44-3,29702
ταῖς,Luke,1,5,ὁ,ddfp,45,45-3,29703
ἡμέραις,Luke,1,5,ἡμέρα,ndfpc,46,46-3,29704
Ἡρῴδου,Luke,1,5,Ἡρῴδης,ngmsp,47,47-3,29705
βασιλέως,Luke,1,5,βασιλεύς,ngmsc,48,48-3,29706
τῆς,Luke,1,5,ὁ,dgfs,49,49-3,29707
Ἰουδαίας,Luke,1,5,Ἰουδαία,ngfsp,50,50-3,29708
ἱερεύς,Luke,1,5,ἱερεύς,nnmsc,51,51-3,29709
τις,Luke,1,5,τὶς,ainmsn,52,52-3,29710
ὀνόματι,Luke,1,5,ὄνομα,ndnsc,53,53-3,29711
Ζαχαρίας,Luke,1,5,Ζαχαρίας,nnmsp,54,54-3,29712
ἐξ,Luke,1,5,ἐκ,pg,55,55-3,29713
ἐφημερίας,Luke,1,5,ἐφημερία,ngfsc,56,56-3,29714
Ἀβιά,Luke,1,5,Ἀβιά,ngmsp,57,57-3,29715
καὶ,Luke,1,5,καί,cc,58,58-3,29716
γυνὴ,Luke,1,5,γυνή,nnfsc,59,59-3,29717
αὐτῷ,Luke,1,5,αὐτός,rpdms,60,60-3,29718
ἐκ,Luke,1,5,ἐκ,pg,61,61-3,29719
τῶν,Luke,1,5,ὁ,dgfp,62,62-3,29720
θυγατέρων,Luke,1,5,θυγάτηρ,ngfpc,63,63-3,29721
Ἀαρὼν,Luke,1,5,Ἀαρών,ngmsp,64,64-3,29722
καὶ,Luke,1,5,καί,cc,65,65-3,29723
τὸ,Luke,1,5,ὁ,dnns,66,66-3,29724
ὄνομα,Luke,1,5,ὄνομα,nnnsc,67,67-3,29725
αὐτῆς,Luke,1,5,αὐτός,rpgfs,68,68-3,29726
Ἐλισάβετ,Luke,1,5,Ἐλισάβετ,nnfsp,69,69-3,29727
ἦσαν,Luke,1,6,εἰμί,viia3p,70,70-3,29728
δὲ,Luke,1,6,δέ,cc,71,71-3,29729
δίκαιοι,Luke,1,6,δίκαιος,annmpn,72,72-3,29730
ἀμφότεροι,Luke,1,6,ἀμφότεροι,annmpn,73,73-3,29731
ἐναντίον,Luke,1,6,ἐναντίον,pg,74,74-3,29732
τοῦ,Luke,1,6,ὁ,dgms,75,75-3,29733
θεοῦ,Luke,1,6,θεός,ngmsc,76,76-3,29734
πορευόμενοι,Luke,1,6,πορεύομαι,vppmnmp,77,77-3,29735
ἐν,Luke,1,6,ἐν,pd,78,78-3,29736
πάσαις,Luke,1,6,πᾶς,aidfpn,79,79-3,29737
