Text,Book,Chapter,Verse,Lemma,POS,Order,ID,SequenceID
Ἀρχὴ,Mark,1,1,ἀρχή,nnfsc,1,1-2,18350
τοῦ,Mark,1,1,ὁ,dgns,2,2-2,18351
εὐαγγελίου,Mark,1,1,εὐαγγέλιον,ngnsc,3,3-2,18352
Ἰησοῦ,Mark,1,1,Ἰησοῦς,ngmsp,4,4-2,18353
Χριστοῦ,Mark,1,1,Χριστός,ngmsp,5,5-2,18354
υἱοῦ,Mark,1,1,υἱός,ngmsc,6,6-2,18355
θεοῦ,Mark,1,1,θεός,ngmsc,7,7-2,18356
Καθὼς,Mark,1,2,καθώς,cs,8,8-2,18357
γέγραπται,Mark,1,2,γράφω,vixp3s,9,9-2,18358
ἐν,Mark,1,2,ἐν,pd,10,10-2,18359
τῷ,Mark,1,2,ὁ,ddms,11,11-2,18360
Ἠσαΐᾳ,Mark,1,2,Ἠσαΐας,ndmsp,12,12-2,18361
τῷ,Mark,1,2,ὁ,ddms,13,13-2,18362
προφήτῃ,Mark,1,2,προφήτης,ndmsc,14,14-2,18363
ἰδοὺ,Mark,1,2,ἰδού,i,15,15-2,18364
ἀποστέλλω,Mark,1,2,ἀποστέλλω,vipa1s,16,16-2,18365
τὸν,Mark,1,2,ὁ,dams,17,17-2,18366
ἄγγελόν,Mark,1,2,ἄγγελος,namsc,18,18-2,18367
μου,Mark,1,2,ἐγώ,rpg-s,19,19-2,18368
πρὸ,Mark,1,2,πρό,pg,20,20-2,18369
προσώπου,Mark,1,2,πρόσωπον,ngnsc,21,21-2,18370
σου,Mark,1,2,σύ,rpg-s,22,22-2,18371
ὃς,Mark,1,2,ὅς,rrnms,23,23-2,18372
κατασκευάσει,Mark,1,2,κατασκευάζω,vifa3s,24,24-2,18373
τὴν,Mark,1,2,ὁ,dafs,25,25-2,18374
ὁδόν,Mark,1,2,ὁδός,nafsc,26,26-2,18375
σου,Mark,1,2,σύ,rpg-s,27,27-2,18376
φωνὴ,Mark,1,3,φωνή,nnfsc,28,28-2,18377
βοῶντος,Mark,1,3,βοάω,vppagms,29,29-2,18378
ἐν,Mark,1,3,ἐν,pd,30,30-2,18379
τῇ,Mark,1,3,ὁ,ddfs,31,31-2,18380
ἐρήμῳ,Mark,1,3,ἔρημος,ndfsc,32,32-2,18381
ἑτοιμάσατε,Mark,1,3,ἑτοιμάζω,vdaa2p,33,33-2,18382
τὴν,Mark,1,3,ὁ,dafs,34,34-2,18383
ὁδὸν,Mark,1,3,ὁδός,nafsc,35,35-2,18384
κυρίου,Mark,1,3,κύριος,ngmsc,36,36-2,18385
εὐθείας,Mark,1,3,εὐθύς,anafpn,37,37-2,18386
ποιεῖτε,Mark,1,3,ποιέω,vdpa2p,38,38-2,18387
τὰς,Mark,1,3,ὁ,dafp,39,39-2,18388
τρίβους,Mark,1,3,τρίβος,nafpc,40,40-2,18389
αὐτοῦ,Mark,1,3,αὐτός,rpgms,41,41-2,18390
ἐγένετο,Mark,1,4,γίνομαι,viam3s,42,42-2,18391
Ἰωάννης,Mark,1,4,Ἰωάννης,nnmsp,43,43-2,18392
ὁ,Mark,1,4,ὁ,dnms,44,44-2,18393
βαπτίζων,Mark,1,4,βαπτίζω,vppanms,45,45-2,18394
ἐν,Mark,1,4,ἐν,pd,46,46-2,18395
τῇ,Mark,1,4,ὁ,ddfs,47,47-2,18396
ἐρήμῳ,Mark,1,4,ἔρημος,ndfsc,48,48-2,18397
καὶ,Mark,1,4,καί,cc,49,49-2,18398
κηρύσσων,Mark,1,4,κηρύσσω,vppanms,50,50-2,18399
