Mat 1:1  βίβλος@nnfsc γένεσις@ngfsc Ἰησοῦς@ngmsp Χριστός@ngmsp υἱός@ngmsc Δαυίδ@ngmsp υἱός@ngmsc Ἀβραάμ@ngmsp 
Mat 1:2  Ἀβραάμ@nnmsp γεννάω@viaa3s ὁ@dams Ἰσαάκ@namsp Ἰσαάκ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἰακώβ@namsp Ἰακώβ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἰούδας@namsp καί@cc ὁ@damp ἀδελφός@nampc αὐτός@rpgms 
Mat 1:3  Ἰούδας@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Φάρες@namsp καί@cc ὁ@dams Ζάρα@namsp ἐκ@pg ὁ@dgfs Θαμάρ@ngfsp Φάρες@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἑσρώμ@namsp Ἑσρώμ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἀράμ@namsp 
Mat 1:4  Ἀράμ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἀμιναδάβ@namsp Ἀμιναδάβ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ναασσών@namsp Ναασσών@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Σαλμών@namsp 
Mat 1:5  Σαλμών@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Βόες@namsp ἐκ@pg ὁ@dgfs Ῥαχάβ@ngfsp Βόες@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἰωβήδ@namsp ἐκ@pg ὁ@dgfs Ῥούθ@ngfsp Ἰωβήδ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἰεσσαί@namsp 
Mat 1:6  Ἰεσσαί@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Δαυίδ@namsp ὁ@dams βασιλεύς@namsc Δαυίδ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Σολομών@namsp ἐκ@pg ὁ@dgfs ὁ@dgms Οὐρίας@ngmsp 
Mat 1:7  Σολομών@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ῥοβοάμ@namsp Ῥοβοάμ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἀβιά@namsp Ἀβιά@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἀσάφ@namsp 
Mat 1:8  Ἀσάφ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἰωσαφάτ@namsp Ἰωσαφάτ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἰωράμ@namsp Ἰωράμ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ὀζίας@namsp 
Mat 1:9  Ὀζίας@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἰωαθάμ@namsp Ἰωαθάμ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἀχάζ@namsp Ἀχάζ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἑζεκίας@namsp 
Mat 1:10  Ἑζεκίας@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Μανασσῆ@namsp Μανασσῆ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἀμώς@namsp Ἀμώς@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἰωσίας@namsp 
Mat 1:11  Ἰωσίας@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἰεχονίας@namsp καί@cc ὁ@damp ἀδελφός@nampc αὐτός@rpgms ἐπί@pg ὁ@dgfs μετοικεσία@ngfsc Βαβυλών@ngfsp 
Mat 1:12  μετά@pa δέ@cc ὁ@dafs μετοικεσία@nafsc Βαβυλών@ngfsp Ἰεχονίας@nnmsp γεννάω@viaa3s ὁ@dams Σαλαθιήλ@namsp Σαλαθιήλ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ζοροβαβέλ@namsp 
Mat 1:13  Ζοροβαβέλ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἀβιούδ@namsp Ἀβιούδ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἐλιακίμ@namsp Ἐλιακίμ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἀζώρ@namsp 
Mat 1:14  Ἀζώρ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Σαδώκ@namsp Σαδώκ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἀχίμ@namsp Ἀχίμ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἐλιούδ@namsp 
Mat 1:15  Ἐλιούδ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἐλεάζαρ@namsp Ἐλεάζαρ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ματθάν@namsp Ματθάν@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἰακώβ@namsp 
Mat 1:16  Ἰακώβ@nnmsp δέ@cc γεννάω@viaa3s ὁ@dams Ἰωσήφ@namsp ὁ@dams ἀνήρ@namsc Μαρία@ngfsp ἐκ@pg ὅς@rrgfs γεννάω@viap3s Ἰησοῦς@nnmsp ὁ@dnms λέγω@vpppnms Χριστός@nnmsp 
